Year,Category,Month,Index_Value,Quarter,Hierarchy_Level,Economic_Period,Is_Tet_Month,Inflation_Status,Season,Category_Group
2017,"Văn hóa, giải trí và du lịch",1,100.17,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2017,Hàng hoá và dịch vụ khác,1,100.48,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2017,Chỉ số giá vàng,1,99.82,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,Financial/Other
2017,Chỉ số đô la Mỹ,1,99.93,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,Financial/Other
2016,Chỉ số giá tiêu dùng,1,100.0,1,Total CPI,Economic Growth,True,Stable,Winter/Tet,General/Housing
2016,Hàng ăn và dịch vụ ăn uống,1,100.25,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Food & Beverage
2016,Lương thực,1,100.48,1,Sub-category,Economic Growth,True,Stable,Winter/Tet,Food & Beverage
2016,Thực phẩm,1,100.3,1,Sub-category,Economic Growth,True,Stable,Winter/Tet,Food & Beverage
2016,Đồ uống và thuốc lá,1,100.44,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2016,"May mặc, mũ nón, giày dép",1,100.37,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2016,Nhà ở và vật liệu xây dựng,1,100.3,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2016,Thiết bị và đồ dùng gia đình,1,100.16,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2016,Thuốc và dịch vụ y tế,1,100.21,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Healthcare
2016,Giao thông,1,97.18,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,Transport
2016,Bưu chính viễn thông,1,99.94,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,General/Housing
2016,Giáo dục,1,100.89,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Education
2016,"Văn hóa, giải trí và du lịch",1,100.16,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2016,Hàng hoá và dịch vụ khác,1,100.29,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2016,Chỉ số giá vàng,1,99.77,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,Financial/Other
2016,Chỉ số đô la Mỹ,1,100.18,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Financial/Other
