Năm,Tháng,Ngày,[gold] Giá mở phiên,[gold] Giá cao nhất trong phiên,[gold] Giá thấp nhất trong phiên,[gold] Giá kết phiên,[gold] Volume,[VNI] Giá mở phiên trước,[VNI] Giá mở phiên,[VNI] Giá cao nhất trong phiên,[VNI] Giá thấp nhất trong phiên,[VNI] Volume,[VNI] % Thay đổi,[USD] Giá mở phiên trước,[USD] Giá mở phiên,[USD] Giá cao nhất trong phiên,[USD] Giá thấp nhất trong phiên,[USD] Volume,[USD] % Thay đổi,"Dầu DO 0,001S-V","Dầu DO 0,005S-IV","Dầu DO 0,05S-II",Dầu FO 3%S,"Dầu FO 3,5%S",Dầu KO,Xăng E10 RON 95-III,Xăng E5 RON 92-II,Xăng RON 95-III,Xăng RON 95-IV
2025,09,05,3545.44,3600.0,3539.79,3587.37,97095.0,"1,666.97","1,696.29","1,711.49","1,665.45",1.65B,-1.73%,"26,400.0","26,395.0","26,415.0","26,380.0",,0.04%,,,,,,,,,,
2025,09,04,3560.3,3564.19,3511.45,3545.39,101393.0,"1,696.29","1,681.30","1,696.29","1,675.95",1.29B,0.89%,"26,390.0","26,385.0","26,405.0","26,367.5",,0.01%,19030.0,,18470.0,,,18310.0,20070.0,19850.0,20430.0,
2025,09,03,3532.61,3578.46,3526.3,3560.62,103975.0,"1,681.30","1,682.21","1,692.69","1,670.39",1.24B,-0.05%,"26,387.5","26,329.0","26,390.0","26,295.5",,0.16%,,,,,,,,,,
2025,09,02,3476.41,3540.17,3470.34,3534.4,107080.0,,,,,,,"26,345.0","26,345.0","26,345.0","26,345.0",,0.00%,,,,,,,,,,
2025,09,01,3445.94,3489.81,3437.12,3476.37,79933.0,,,,,,,"26,345.0","26,345.0","26,345.0","26,345.0",,0.00%,,,,,,,,,,
2025,08,29,3417.06,3453.88,3404.36,3448.16,90252.0,"1,682.21","1,680.86","1,694.42","1,677.82",1.46B,0.08%,"26,345.0","26,345.0","26,375.0","26,332.5",,-0.11%,,,,,,,,,,
2025,08,28,3398.01,3423.17,3384.6,3417.36,89005.0,"1,680.86","1,672.78","1,684.16","1,659.68",1.10B,0.48%,"26,375.0","26,356.0","26,382.0","26,325.0",,-0.02%,18910.0,,18350.0,,,18220.0,20080.0,19770.0,20360.0,
2025,08,27,3390.76,3398.81,3373.81,3397.38,78602.0,"1,672.78","1,667.63","1,696.60","1,667.23",1.48B,0.31%,"26,380.0","26,370.0","26,402.5","26,325.0",,0.06%,,,,,,,,,,
2025,08,26,3366.56,3393.31,3351.29,3392.96,85457.0,"1,667.63","1,614.03","1,667.96","1,601.65",1.23B,3.32%,"26,365.0","26,319.0","26,377.5","26,295.5",,0.23%,,,,,,,,,,
2025,08,25,3368.71,3376.22,3359.81,3365.73,63484.0,"1,614.03","1,645.47","1,661.47","1,608.53",1.45B,-1.91%,"26,305.0","26,300.0","26,368.0","26,289.0",,-0.17%,,,,,,,,,,
